model_id,layer_index,n_layers,relative_depth,r2_b,beta,s,r2_eps
HuggingFaceTB/SmolLM3-3B-Base,24,36,0.3333333333333333,-0.05477517654510211,-0.03125410499042117,0.023722511819713257,0.36576406264161243
HuggingFaceTB/SmolLM3-3B-Base,23,36,0.3611111111111111,-0.033600347768755645,-0.026722941591028785,0.023722511819713257,0.3647929505650912
HuggingFaceTB/SmolLM3-3B-Base,22,36,0.3888888888888889,-0.06714646616080544,-0.025617181367112742,0.023722511819713257,0.4156839942263907
HuggingFaceTB/SmolLM3-3B-Base,21,36,0.4166666666666667,-0.04301288713156315,-0.02589238917051519,0.023722511819713257,0.422237172139026
HuggingFaceTB/SmolLM3-3B-Base,20,36,0.4444444444444444,-0.028926926429829525,-0.0329948716681249,0.023722511819713257,0.3852480887888379
HuggingFaceTB/SmolLM3-3B-Base,19,36,0.4722222222222222,-0.007814493260508426,-0.03423257103363143,0.023722511819713257,0.4282761304397914
HuggingFaceTB/SmolLM3-3B-Base,18,36,0.5,-0.0025762355000651382,-0.023302369800871997,0.023722511819713257,0.4118397825788451
HuggingFaceTB/SmolLM3-3B-Base,17,36,0.5277777777777778,-0.013185083044873425,-0.04755232672949077,0.023722511819713257,0.3643733267097944
HuggingFaceTB/SmolLM3-3B-Base,16,36,0.5555555555555556,-0.017171327709533557,-0.05495240130397329,0.023722511819713257,0.36688182925634394
HuggingFaceTB/SmolLM3-3B-Base,15,36,0.5833333333333334,-0.02785031188115661,-0.053594228351362794,0.023722511819713257,0.3287349667201225
HuggingFaceTB/SmolLM3-3B-Base,14,36,0.6111111111111112,-0.020386094568189073,-0.0549141537609097,0.023722511819713257,0.3219051492883187
HuggingFaceTB/SmolLM3-3B-Base,13,36,0.6388888888888888,-0.015602724789882227,-0.057724199738126376,0.023722511819713257,0.28672270467513905
HuggingFaceTB/SmolLM3-3B-Base,12,36,0.6666666666666666,-0.01361197714302076,-0.049780303322409326,0.023722511819713257,0.2819254517134344
HuggingFaceTB/SmolLM3-3B-Base,11,36,0.6944444444444444,-0.014820692042598393,-0.05578331303328286,0.023722511819713257,0.2945134233488188
HuggingFaceTB/SmolLM3-3B-Base,10,36,0.7222222222222222,-0.019023779028733312,-0.05647808870874806,0.023722511819713257,0.2956384039352471
HuggingFaceTB/SmolLM3-3B-Base,9,36,0.75,-0.043792586841363335,-0.05665460686418823,0.023722511819713257,0.27704729230159486
HuggingFaceTB/SmolLM3-3B-Base,8,36,0.7777777777777778,-0.11630740597633293,-0.05109549604357904,0.023722511819713257,0.285593187193825
HuggingFaceTB/SmolLM3-3B-Base,7,36,0.8055555555555556,-0.14087324366333953,-0.05683472037009931,0.023722511819713257,0.3080080809398841
HuggingFaceTB/SmolLM3-3B-Base,6,36,0.8333333333333334,-0.04113462775592258,-0.057684294245396485,0.023722511819713257,0.2874006067546051
HuggingFaceTB/SmolLM3-3B-Base,5,36,0.8611111111111112,-0.16122120631917425,-0.05812603067907699,0.023722511819713257,0.2892175298354459
HuggingFaceTB/SmolLM3-3B-Base,4,36,0.8888888888888888,-0.007916686985204313,-0.05839520222299792,0.023722511819713257,0.2588244321906753
HuggingFaceTB/SmolLM3-3B-Base,3,36,0.9166666666666666,-0.0012817774591560305,-0.05691045942370452,0.023722511819713257,0.26232261442135596
HuggingFaceTB/SmolLM3-3B-Base,2,36,0.9444444444444444,-0.001988566156985838,-0.05656614756517525,0.023722511819713257,0.25320103803024174
HuggingFaceTB/SmolLM3-3B-Base,1,36,0.9722222222222222,-0.012454573989523654,-0.053873415546528476,0.023722511819713257,0.2606626962186982
HuggingFaceTB/SmolLM3-3B-Base,0,36,1.0,-0.027088617665893322,-0.050650931692145296,0.023722511819713257,0.21076215156208877
Qwen/Qwen2.5-14B-Instruct,47,48,0.020833333333333332,0.20848744410599906,-0.01563515018935691,0.01322675311647156,0.30795611400050393
Qwen/Qwen2.5-14B-Instruct,46,48,0.041666666666666664,0.1980756380018731,-0.015600381981057648,0.01322675311647156,0.33169940947879073
Qwen/Qwen2.5-14B-Instruct,45,48,0.0625,0.2065374154381543,-0.015856553498810454,0.01322675311647156,0.3240084296893735
Qwen/Qwen2.5-14B-Instruct,44,48,0.08333333333333333,0.1909058483601146,-0.017173737629640317,0.01322675311647156,0.32005121435055706
Qwen/Qwen2.5-14B-Instruct,43,48,0.10416666666666667,0.18904991825539863,-0.015089664019045108,0.01322675311647156,0.3306520191222717
Qwen/Qwen2.5-14B-Instruct,42,48,0.125,0.38758373185824524,-0.014050738905845352,0.01322675311647156,0.39973406211780904
Qwen/Qwen2.5-14B-Instruct,41,48,0.14583333333333334,0.3669691474945912,-0.014527742826162867,0.01322675311647156,0.4081292417683905
Qwen/Qwen2.5-14B-Instruct,40,48,0.16666666666666666,0.3789932159777526,-0.014492129755731577,0.01322675311647156,0.4404944780740092
